Shop Name,Contact,Adress,State,City,GST
First Look  (Lucknow ),9310373788,Jai prakash nagar ,Up,Lucknow ,
A V Makeover  (Nagpur),9310372972,Nandanwan road ,Maharashtra,Nagpur,
Glam Up Saloon  (Nagpur ),9310070552,Telephone exchange ,Maharashtra ,Nagpur ,
Parisiddhi Makeover (Nagpur),9310029776,Wadi,Maharashtra,Nagpur,
Heaven Unisex (Nagpur),9310029773,Dattawadi ,Maharashtra,Nagpur,
Yantra Unisex  (Adra),9309547731,Hill cart road,West Bengal,Adra,
Kalki Unisex  (Shiliguri),9309191766,Sevoke road,West Bengal,Shiliguri,
Sv Enterprises  (Siligur ),9308766193,Sevoke more,West Bengal ,Siligur ,
Ruby Salon (Kapurthala),9307393260,Bustand road kapurthala ,Punjab ,Kapurthala,
Sir Snap N Muktsar (Khara),9306045955,New chandigarh ,Kharar,Khara,
Fashion Street  (Kharar),9305395488,Kurali,Kharar ,Kharar,
Vandana Beauty Parlour  (Kharar),9305289201,Kurali,Kharar,Kharar,
Dhanshree Makeover  (Kapurthala),9304923508,Jalandhar by pass,Punjab ,Kapurthala,
Neelam Make Over  (Baga purana ),9304778422, opp. Gurudwara Charan Kamal, Bagha Purana, Punjab 142038,Punjab,Baga purana ,
Sukra Ladies Salon  (Baga purana ),9304692041,Moga road, Baga purana ,Punjab,Baga purana ,
Amoli Beauty Parlour  (Bagha Purana),9304529182,Mane bazar ,Punjab,Bagha Purana,
Sanju Barbar (Kharar),9303571566,New chandigarh ,Kharar,Kharar,
Saroj Make Over  (Itanagar),9302870971,Kaggalipura ,Arunachal Pradesh,Itanagar,
Rajani Makeup Studio  (Ambikapur),9302541910,Jagdalpur,Chhattisgarh,Ambikapur,
Health Zone  (Mohali),9302421157,Phase 10 Mohali,Punjab ,Mohali,
Fabulous Saloon  (Jodhpur ),9300911331,Ratnada,Rajasthan ,Jodhpur ,
Iconic Beauty Salon  (Panchkula ),9300850013,House no 1270 sec 8 Panchkula ,Haryana ,Panchkula ,
Alice Salon  (Zerakpur),9289217595,Zirakpur ,Punjab,Zerakpur,
Ruby Beauty Clinic  (Rajkot ),9286133340,Bh crystal mall ,Gujrat ,Rajkot ,
Hair Lab Studio  (Bhubaneswar ),9284588049,Prachi vihar Bda,Odisha ,Bhubaneswar ,
Compass Unisex Salon (Bhubaneswar ),9284580252,Chandrasekhar pur ,Odisha ,Bhubaneswar ,
Welcome Salon  (Noida),9266922252, B block market, Sec 20 Noida,Uttar Pradesh,Noida,
Beauty Care Ladies Parlour  (Zirakpur ),9266817451,Oxford Street Zirakpur ,Punjab ,Zirakpur ,
Style Salon  (Varanasi ),9266711535,D.L.W. Chitaipur Road ,Uttar Pradesh,Varanasi ,
Glamup By Vinni  (Delhi ),9266483703,Ramesh Nagar ,Delhi ,Delhi ,
Glamup By Vinni (Delhi),9264918357,Moti nagar ,Delhi,Delhi,
M3P Unisex Salon  (Delhi),9259202050,Moti nagar ,Delhi ,Delhi,
The Glem Zone Unisex Salon (Delhi ),9258960465,Moti nagar ,Delhi ,Delhi ,
The Glem Fector Unisex Salon (Gautam Budh Nagar ),9258493077,SUPERTECH ECO VILLAGE-1, 21 Upper Ground Floor, Supertech Mart, Bisrakh Jalalpur, Greater Noida, Uttar Pradesh 201306,Uttar Pradesh ,Gautam Budh Nagar ,
Women'S Beauty Parlour  (Noida),9256799199,SUPERTECH ECO VILLAGE-1, 21 Upper Ground Floor, Supertech Mart, Bisrakh Jalalpur, Greater Noida West ,Uttar Pradesh,Noida,
Adonize Unisex Salon  (Noida),9250857458,SUPERTECH ECO VILLAGE-1, 21 Upper Ground Floor, Supertech Mart, Bisrakh Jalalpur, Greater Noida, Uttar Pradesh 201306,Uttar Pradesh ,Noida,
Adonaze Unisex Salon (Varanasi ),9250324322,Vasliganj Near by Sai baba Mandir Mirzapur ,Uttar Pradesh,Varanasi ,
Noble Touch Luxury Unisex Salon  (Lucknow ),9250034567,New Hazratganj gomti nagar extension ,Up,Lucknow ,
Tr Salon (Ayodhya ),9235781101,Naka chungi ,Up,Ayodhya ,
Kings Star Unisex Salon  (Nagpur ),9235496577,Wanadongri ,Maharashtra ,Nagpur ,
King Star Unisex Salon  (Ahmadnagar),9234900735,Sugat nagar ,Maharashtra,Ahmadnagar,
Gitter & Lashes Unisex Salon  (Nagpur),9234683065,Sugat nagar ,Maharashtra,Nagpur,
Magic Makeover  (Nagpur ),9234546300,Nara road Sugat nagar ,Maharashtra ,Nagpur ,
Ki N Ka Unisex Salon  (Mohali),9234432045,Sco 445 phase 10 mohali,Punjab ,Mohali,
Perfect 5 Clinic  (Raipur ),9226807816,Anand nagar ,Chattisgarh ,Raipur ,
Sakhi Shelia Salon  (Other),9220980755,Ratu road ,Andaman and Nicobar Islands,Other,
Dignity Beauty Parlour  (Chandigarh ),9220248600,Sec 32,Ut,Chandigarh ,
Shagun Beauty Parlour (East delhi),9219732210,Jhilmil,Delhi,East delhi,
Dreams  (Kot Kapura),9219448013,Mani bazar, kotkapura ,Punjab,Kot Kapura,
Beauty Club (Kotkapura ),9219102030,Mane bazar, kotkapura ,Punjab,Kotkapura ,
New Ellcanes Salon  (Kharar),9215548445,Kharar,Punjab ,Kharar,
Perf Point  (Varanasi ),9214107786,Narghat, Gosain Tola, Mirzapur, Uttar Pradesh,Uttar Pradesh,Varanasi ,
Seema Makeup Studio  (Lucknow ),9213940375,Malhor,Up,Lucknow ,
Annpurna Beauty Salons  (Bathinda ),9213940375,Bathinda ,Punjab ,Bathinda ,
Look Makeover Salon  (Talwandi sabo),9213929081,Main bajar, talwandi sabo ,Punjab ,Talwandi sabo,
# Blound Unisex Salon  (Moradabad),9213188860,buddhi vihar,Uttar Pradesh,Moradabad,
La Famme (Muzaffarnagar ),9212927333,Rehmat nagar,UP ,Muzaffarnagar ,
La Famme Salon (Gadarpur ),9212908188,Gadarpur ,Uttrakhand ,Gadarpur ,
La Famme Ledies Salon (Panchkula ),9212395692,Sec 20,Haryana ,Panchkula ,
Shanaz Saloon  (Lucknow ),9212162872,Gomtinagar extension ,Up,Lucknow ,
Shanaz Beauty Parlour  (Lucknow ),9211949452,Gomti Nagar extension ,Up,Lucknow ,
Gudiya Salon  (Lucknow ),9211485256,Ashiyana ,Up,Lucknow ,
Priya Makeover  (Allahabad ),9210608095,201/16, Sulem saraj  jayantipur near petrol pump Dhoomanganj Allahabad ,Uttar Pradesh ,Allahabad ,
Care Saloon  (bagnan ),9210608094,bganan laibari more,HOWRAH,bagnan ,
Gazal Salon (Adra),9209898908,1.no govt colony malda ,West Bengal,Adra,
Jodhana Beauty Point  (Nagpur),9205806002,Friends colony ,Maharashtra,Nagpur,
Lawela Bp (Nagpur),9193848024,Friends colony katol road ,Maharashtra,Nagpur,
Jyoti Hair Style  Salon  (East delhi),9185738128,Shivaji park shahdara,Delhi,East delhi,
Sonal Bp (East delhi),9175994316,Mayur vihar ph 2 main mkt,Delhi,East delhi,
Pratibha Beauty Parlour  (Delhi ),9172121466,Moti nagar ,Delhi ,Delhi ,
Koristaa Family Salon  (Ghaziabad ),9168813584,Raj Nagar Ext Ghaziabad ,Uttar Pradesh,Ghaziabad ,
Pachouli Wellness (Greater Noida ),9168176065,232, 1st floor, Gurbaksh Plaza, Jagat Farm, Gamma 1, Greater Noida, Uttar Pradesh 201306,Uttar Pradesh ,Greater Noida ,
Ritis Salon  (Noida),9166562697,Jagat Farm, Gamma-1, Greater Noida ,Uttar Pradesh,Noida,
Anushree Beauty Parlour  (Delhi ),9163400595,Ramesh Nagar ,Delhi ,Delhi ,
Pixy Maam  (Delhi ),9163207252,Ramesh nagar ,Delhi ,Delhi ,
Shades A Unisex Salon (Lucknow),9162257727,Sikanderbagh ,Uttar Pradesh,Lucknow,
The Hair Guru Unisex Salon  (Lucknow),9161335551,Sikander bagh ,Uttar Pradesh,Lucknow,
Stunner Salon (Lucknow ),9161195556,Sikanderbagh,Up,Lucknow ,
A Touch Of Glass Unisex Salon  (Lucknow ),9149979149,Sikanderbagh ,Up,Lucknow ,
A Touch Og Class Salon (Lucknow ),9149355322,Gokhle marg ,Up,Lucknow ,
A Touch Of Class Unisex Salon  (Varanasi ),9149164661,Karmanveer BHU Road Suswahi Varanasi ,Uttar Pradesh,Varanasi ,
Glamorous Looks Unisex Salon  (Varanasi ),9145947715,Pandeypur Khajuri Sudhakar Road ,Uttar Pradesh ,Varanasi ,
Ji Quee Makeover  (Kanpur ),9142364090,Lal bangla ,Uttar Pradesh ,Kanpur ,
Queen Makeover (Kanpur),9140998783,Panki road ,Uttar Pradesh,Kanpur,
Vyom Makeovers Unisex Salon  (Kanpur ),9140653319,Panki road kalyanpur ,Uttar Pradesh,Kanpur ,
Sd Salon  (Kanpur ),9140260109,Panki road kalyanpur ,Uttar Pradesh ,Kanpur ,
Luxkaya (Kanpur ),9140161717,Panki road ,Uttar Pradesh ,Kanpur ,
M Beauty Parlour  (Kanpur ),9136017918,Panki road kalyanpur ,Uttar Pradesh ,Kanpur ,
Tammanna Beauty Parlour  (Lucknow ),9131993109,Aliganj puraniya ,Up,Lucknow ,
Javed Haviv Unisex (Kanpur ),9131896369,Ranjeet nagar ,Uttar Pradesh,Kanpur ,
Glam Makeover  (Achhnera),9130474374,Madhopur ,Uttar Pradesh,Achhnera,
Priya Salon (Varanasi ),9129656002,Madhopur ,Uttar Pradesh ,Varanasi ,
Hi Style Salon (Meerut ),9129623359,Sec 2 shastri nagar meerut ,UP,Meerut ,
Vama Layer Unisex Salon  (Meerut),9123139796,Bhola road ,Uttar Pradesh,Meerut,
Vama Layer Salon  (Meerut ),9119990170,Bagpat road ,UP ,Meerut ,
Vama Leyars  Unisex Salon  (Haldwani ),9119827185,Ntl road,Uttrakhand ,Haldwani ,
Vama Layers Unisex Salon  (Meerut ),9119821795,Rg college ,UP,Meerut ,
Women Villa Beauty Care Clinic (Chandigarh),9119696092,Sec 41,Punjab,Chandigarh,
Blade Salon  (Allahabad ),9119374305,Preetam Nagar Allahabad ,Uttar Pradesh ,Allahabad ,
Javed Salon  (Lucknow ),9119162983,Gomti Nagar extension ,Up,Lucknow ,
Kia Unisex Salon  (Delhi ),9118887405,Paschim vihar ,Delhi ,Delhi ,
Make Over Studio (Lucknow ),9118463217,Jankipuram extension ,Up,Lucknow ,
Thor Unisex Salon  (Lucknow ),9118188857,Gomti Nagar SRS mall ,Up,Lucknow ,
Vs Enterprises  (Nagpur),9116362991,Nara road ,Maharashtra,Nagpur,
S V Enterprises (Kanpur ),9116200271,Swaroop Nagar ,Uttar Pradesh ,Kanpur ,
Olvir Unisex Salon  (Ghaziabad ),9115703196,Vashundhra Ghaziabad ,Uttar Pradesh,Ghaziabad ,
Flower Face Beauty Salon (Panchkula ),9115296196,Sec 20,Haryana ,Panchkula ,
E L Barbero Beauty Salon  (Agra),9111813176,opposite Shalimar hotel, Chakkipat, Chhipitola, Rakabganj, Agra, Uttar Pradesh 282003,Uttar Pradesh,Agra,
Kb Beauty Studio  (Agra),9111346675,Shop no 4 police line near gurudwara agra,Uttar Pradesh,Agra,
Revital Ss Salon Kavi Nagar  (Mawana ),9111007011,Mawana,UP,Mawana ,
Narender'S Unisex Salon (Jaunpur ),9110901065,Jaunpur ,Uttar Pradesh ,Jaunpur ,
Gorgeous Unisex Salon  (Noida),9110694662,Mahagun Mart, Sec 78, Noida PIN-201301,Uttar Pradesh,Noida,
Seema Make Over  (Noida),9105625810,Sec 75, Noida,Uttar Pradesh,Noida,
The M Sparkal (Noida),9101399681,PAN OASIS, 16, Market, Pan Oasis Society, Sector 70, Noida, Basi Bahuddin Nagar, Uttar Pradesh 201307,Uttar Pradesh,Noida,
Geetanjali Unisex  (Noida),9099562145,Lotus Panache, Sector 110,Uttar Pradesh,Noida,
Ahilya Beauty Parlour  (East delhi),9098769271,60 ft road vishwas nagar,Delhi,East delhi,
Moderen Beauty Parlour  (Noida),9098622519,Sec 76, Noida,Uttar Pradesh,Noida,
Be Gorgeous Salon (Noida),9096903110,Sec 78, Noida,Uttar Pradesh,Noida,
Fair N Face Ladies Beauty Saloon  (Quilon),9096216733,Paravur ,Kerala,Quilon,
The H2 Professional Salon  (Thrissur ),9090323212,Moolans family mart
Tramway line
Chalakudy ,Kerala ,Thrissur ,
Naina Bp Sonari  (Amritsar ),9088726116,Near sanja chula,Punjab ,Amritsar ,
D&D Professional  (Haldwani ),9088442194,,Uttrakhand ,Haldwani ,
D & D Professional  (Meerut ),9088229921,Bagpat road ,UP ,Meerut ,
Aura (Varanasi),9086070086,Khushaal nagar,Uttar Pradesh,Varanasi,
Harguns Salon (Noida),9084459378,N15/1AKH-1 Sankuldhara Sudamapur Varanasi - 221010,Uttar Pradesh,Noida,
Reflections Salon (Varanasi ),9084320860,N15/1AKH-1 Sankuldhara Sudamapur Varanasi - 221010,Uttar Pradesh,Varanasi ,
Hair Studeo (Varanasi ),9084316051,N 15/1AKH-1 Sankuldhara Sudamapur Varanasi-221010,Uttar Pradesh,Varanasi ,
Colours Matrix  (Varanasi ),9080886650,Khojwan Road ,Uttar Pradesh ,Varanasi ,
Cut &Shine (Varanasi ),9080776656,Khojwan ,Uttar Pradesh ,Varanasi ,
Salon La Cafe  (Hoshiarpur ),9080678060,Mahilpur ,Punjab,Hoshiarpur ,
Salon La Cafe (Meerut ),9079171661,Central market shastri nagar meerut ,UP,Meerut ,
Mayuri  (Khatuli ),9078653421,Khatuli ,UP ,Khatuli ,
Yuthika Makeover  (Modinagar ),9076688816,Niwadi road,UP,Modinagar ,
La Pearle Salon (Modinagar ),9073120062,Modinagar ,UP,Modinagar ,
 La Pearle Unisex Salon  (Nagpur),9070675534,Durgavati chock ,Maharashtra,Nagpur,
Aura Unisex Salon  (ERANAKULAM ),9068888577,Pulichuvadu,Kerala ,ERANAKULAM ,
Mausam Salon  (Jamshedpur),9068254374,Near HP Petrol pump, Dimna Road, Mango,Jharkhand,Jamshedpur,
Ballayaz Unisex Salon  (Adra),9066509547,Santoshi nagar,West Bengal,Adra,
Aradhya Makeover  (Jodhpur ),9059083987,Sardarpura ,Rajasthan ,Jodhpur ,
Midas Makeup Studio  (Jodhpur ),9059053987,Sardarpura ,Rajasthan ,Jodhpur ,
Star Unisex Salon  (Jodhpur ),9056547886,Adarsh Nagar near aditi cafe,Rajsthan ,Jodhpur ,
Ravi& Jyoti Salon (Pali),9055511156,Adarsh Nagar near aditi cafe,Rajsthan ,Pali,
Rj Mirror Up Studio  (Meerut ),9051436481,Kanker khera ,UP,Meerut ,
Mg Beauty Parlour  (Meerut ),9051246815,Sadar bazar ,UP,Meerut ,
Cut & Clip (Meerut ),9050400093,Sadar ,UP,Meerut ,
Cut & Clip Unisex Salon  (Jodhpur),9045928972,Sardarpura ,Rajasthan,Jodhpur,
Cut &Clip Salon  (Kanpur),9045678097,Govind Nagar ,Uttar Pradesh,Kanpur,
Jojo Unisex Salon  (Kanpur ),9045290935,Govind Nagar ,Uttar Pradesh ,Kanpur ,
Glam Looks Salon  (Kanpur ),9045074277,Govind Nagar G- Block ,Uttar Pradesh ,Kanpur ,
Moni Ladies Beauty Parlour  (Lucknow ),9044804443,Arjunganj ,Up,Lucknow ,
Glamour  (Lucknow ),9044731191,Srinagar nagar ,Up,Lucknow ,
Rumu (Jodhpur ),9044581580,Chb,Rajsthan ,Jodhpur ,
Kaya Bp  (Jodhpur),9044455808,Sardarpura ,Rajasthan,Jodhpur,
Queen Harbal Beauty Salon  (Jodhpur),9044433444,Banar Jodhpur ,Rajasthan,Jodhpur,
Alpine Luxury Salon (Jodhpur ),9044140901,Sardarpura c road Jodhpur ,Rajsthan ,Jodhpur ,
Skin Luxe Salon  (Jodhpur ),9044000852,Sardarpura ,Rajsthan ,Jodhpur ,
Glam Unisex Salon  (Kanpur),9042247407,Ratan lal nagar ,Uttar Pradesh,Kanpur,
9S Hair Salon  (Kanpur ),9041962127,Flat No -38 Raj Tower  Ratan Lal Nagar ,Uttar Pradesh ,Kanpur ,
Heena Beauty Parlor  (Kanpur ),9041556460,Ratan lal nagar ,Uttar Pradesh ,Kanpur ,
I Conic Unisex  (Jodhpur ),9040320470,Pratap Nagar ,Rajsthan ,Jodhpur ,
Feminity Unisex Salon  (Jodhpur ),9039673344,Pratap Nagar ,Rajsthan ,Jodhpur ,
Wonder Touch Unisex Salon (Guwahati),9039039711,Hatigaon ,Assam,Guwahati,
The Scissors Salon  (Achaljamu),9036441144,Ground floor Moti Mahal, Azadnagar, Opp. HP Petrol pump, Mango,Jharkhand,Achaljamu,
Elegance Unisex Salon  (Jaunpur ),9036339986,Khujji mod (Hisampur Road) Dhobhi Jaunpur ,Uttar Pradesh ,Jaunpur ,
R J Galaxy Unisex Salon  (Varanasi ),9034433374,Azamgarh Road,Uttar Pradesh ,Varanasi ,
Uniqe Scissors Unisex Salon (Raipur),9031652619,Samta colony ,Chhattisgarh,Raipur,
Samaira Makeover  (Nagpur),9027844306,Indora chowk ,Maharashtra,Nagpur,
Akansha Makeover  (Delhi ),9026890099,Ramesh nagar ,Delhi ,Delhi ,
Elegant Touch Beauty Parlour  (Hamirpur),9026779690, First floor Opposite Bus stand Nadaun market ,HIMACHAL PRADESH,Hamirpur,
Swapna  Unisex Salon Raj Nagar  (Amritsar),9026678790,D block Markit ,Punjab,Amritsar,
Pihu Parlour (Amritsar ),9026587673,Near Shivala mandir,Punjab ,Amritsar ,
Hair Planet Salon  (Mohali),9026140426,Sco 14 sec 68,Punjab ,Mohali,
Neha'S Makeover Unisex Salon  (Amritsar),9024196111,Near lal devi Mandir ,Punjab,Amritsar,
Infinity Salon (Amritsar ),9022913554,Near lal devi mandir rani ka bagh,Punjab ,Amritsar ,
Snehajyoti Beauty Parlour  (Amritsar ),9021635061,Near lal devi mandir,Punjab ,Amritsar ,
Snehajyoti Make Over  (Chandigarh),9015922336,Sec 37d,Punjab,Chandigarh,
Shruti Beauty Parlour  (Jalalabad),9015451480,Mani bazar, Jalalabad ,Punjab,Jalalabad,
Jodhana Beauty Parlor  (Jalalabad ),9012805029,J734+QR8 Jass Lehnga House, Sri Muktsar Sahib, Jalalabad,,Punjab,Jalalabad ,
Salon 82 (Jalalabad ),9012482449,Mani bazar, Jalalabad ,Punjab,Jalalabad ,
Blonde Beauty Salon  (Ferozepore),9012481453,Firozepur cantt ,Punjab,Ferozepore,
Crown & Comb Salon (Ferozepore),9011437084,, firozepur cantt,Punjab,Ferozepore,
V Hair Craft Salon  (Ferozepore),9009549266,Firozepur cantt,Punjab,Ferozepore,
Mystique World Salon (Ferozepur cantt),9007003461,253 Bno 3, Suzi Bazar, opp. Balaji Temple, opp. Salasar Balaji Mandir, Ferozepur Cantt, Punjab 152001,Punjab,Ferozepur cantt,
Mistique World  (Firozepur ),9005776824,Cantt , Firozpur ,Punjab,Firozepur ,
Bride O City (Noida),9005776823,253 Bno 3, Suzi Bazar, opp. Balaji Temple, opp. Salasar Balaji Mandir, Ferozepur Cantt, Punjab 152001,Punjab,Noida,
Heavens Makeover  (Faridkot),9003555018,Circal road , Faridkot ,Punjab,Faridkot,
The Face Dairy Unisex Salon (FARIDKOT ),9003197666,Circular road, Faridkot ,Punjab,FARIDKOT ,
Must Be Real Salon (Palghat),8999925267,Muttikulangara,Kerala,Palghat,
S Trends Professional Beauty Salon  (Raipur),8999545192,Shailendra nagar ,Chhattisgarh,Raipur,
Shipra Makeover Salon  (Chandigarh),8997237956,Sec 37,Punjab,Chandigarh,
Neha Rastogi  (Jagdalpur),8989787867,Harha road.jagdalpur,Chhattisgarh,Jagdalpur,
Bhawna & Dolly Makeover  (Jagdalpur),8989786756,Harha road.jagdalpur,Chhattisgarh,Jagdalpur,
Lakshita (Hisar ),8989768767,Model town ,Haryana ,Hisar ,
Sheen Beauty  (Delhi ),8986677003,Uttam Nagar ,Delhi ,Delhi ,
Belleza Unisex Salon  (Delhi ),8986645567,Uttam Nagar ,Delhi ,Delhi ,
Bellaza Unisex Salon  (Delhi ),8983058374,Uttam Nagar ,Delhi ,Delhi ,
Blush Beauty Parlour  (Jalandhar ),8982746744,Milap chownk jalandhar ,Punjab,Jalandhar ,
The Lotus Unisex Salon  (Jalandhar ),8979598315,Milap chownk jalandhar ,Punjab,Jalandhar ,
Naincy Beauty Saloon  (Jalandhar ),8979352036,Milaap chowk jalandhar ,Punjab,Jalandhar ,
Naincy Beauty Parlour  (Jalandhar ),8979342165,Jalandhar ,Punjab ,Jalandhar ,
Raiging Bp (Jalandhar ),8978908989,Jalandhar ,Punjab ,Jalandhar ,
Xpertcare Unisex Salon  (Kharar),8978675645,Kharar,Punjab ,Kharar,
Aaradhna Saloon  (Pathankot),8978675644,Near kametighar,Punjab,Pathankot,
Mahi Beauty Point  (Jandala ),8977776321,Lovekuch chonk,Punjab ,Jandala ,
Vandana Beauty Parlor  (Jandiala),8976456323,Lovekuch chonk ,Punjab,Jandiala,
Volume Ki And Ka Unisex Salon  (Kharar),8972284414,Kurali,Kharar,Kharar,
Meraki Salon  (Kharar),8971610805,New chandigarh ,Kharar,Kharar,
Bronze Unisex Salon  (Jodhpur ),8969962888,Ratnada ,Rajsthan ,Jodhpur ,
New Bridal Zone (Abu),8968486950,Abu road ,Rajasthan,Abu,
Mansoon Luxury Salon (Muzaffarnagar),8968368009,Punjabi colony ,Uttar Pradesh,Muzaffarnagar,
W6 Salon  Zira (Khatuli ),8968241045,GT road khatuli ,UP ,Khatuli ,
Sahiba Makeover  (Achhnera),8968164427,Badi Gaibi,Uttar Pradesh,Achhnera,
Universe (Lucknow ),8968080550,Ashiyana ,Up,Lucknow ,
Herbal Beauty Parlour  (Kanpur),8967451100,Saket nagar ,Uttar Pradesh,Kanpur,
Infinity Shanakar Nagar (Kanpur),8963097777,Saket nagar ,Uttar Pradesh,Kanpur,
Style Heaven Salon (Kanpur ),8960641528,Saket nagar ,Uttar Pradesh ,Kanpur ,
Classic Touch  (Lucknow),8960163721,Narhi bazar ,Uttar Pradesh,Lucknow,
Studio Family Salon  (Lucknow ),8958882536,Narhi Hazratganj ,Up,Lucknow ,
Rupa Parlour  (Lucknow ),8958236708,Narhi Hazratganj ,Up,Lucknow ,
Sanvi Makeover  (Lucknow ),8958111789,Ashiyana ,Up,Lucknow ,
Megha Parlour  (Thiruvananthapuram),8957976419,Thirumala,Kerala,Thiruvananthapuram,
Style N Smile Unisex Salon  (Bhubaneswar ),8957234877,Saheed Nagar bbsr,Odisha ,Bhubaneswar ,
Curls Hair Studio  (Bhubaneswar ),8956986305,Raghunath pur bbsr,Odisha ,Bhubaneswar ,
Uzma Beauty Parlor  (Bhubaneswar ),8955265569,Unit 4 near padarsani padia,Odisha ,Bhubaneswar ,
Magic Skill Salon (Jodhpur),8954357153,Ratnada ,Rajasthan,Jodhpur,
The Art Samily Salone (chadan nagar),8954301550,swapnbazar 712136,hugley,chadan nagar,
Color Trends  (Jodhpur ),8954147690,Ratnada ,Rajsthan ,Jodhpur ,
Nidhi Makeover  (Jodhpur ),8954081875,Ratnada airforce order collect ,Rajasthan ,Jodhpur ,
Sanky Beauty Parlour  (Jodhpur ),8953099469,Ratnada ,Rajsthan ,Jodhpur ,
Vandini For You  (Jodhpur ),8952981468,Pawta ,Rajasthan ,Jodhpur ,
The Glam House  (Ambikapur),8952851382,Ambikapur,Chhattisgarh,Ambikapur,
Jawad Habib Hair And Beauty  Kidwai Nagar  (Agra),8951415400,4 Adan Bagh Extension, Dayal Bagh,Agra,Uttar Pradesh,Agra,
Mdm (Nagpur),8948933179,Vaishali Nagar ,Maharashtra,Nagpur,
Beauty Point Salon  (Udhampur),8944071260,Udhampur,Jammu and Kashma«r,Udhampur,
Beauty Point (Jammu),8938942324,,Jammu and Kashmir,Jammu,
Tulika Makeup Studio  (Jammu),8937858294,Jammu gandhi nagar ,Jammu and Kashmir,Jammu,
Tusha Arora  (Hamirpur),8934331750,Vpo lambloo tehsil and district Hamirpur ,Himachal Pradesh,Hamirpur,
Kwality Unisex Salon  (Rajkot ),8927787469,Mavdi,Gujrat ,Rajkot ,
Vanity Salon  (Chandigarh),8923708689,Sec 32,Punjab,Chandigarh,
Sonu Beauty Salon  (Hamirpur),8920756356,Sujanpur near Bus stand ,HIMACHAL PRADESH,Hamirpur,
Blush Brush Makeover  (Bathinda ),8920704999,Bathinda ,Punjab ,Bathinda ,
Blush Brush Salon  (Chandigarh ),8920041242,Sco 40 sec 19c Chandigarh ,UT,Chandigarh ,
Blush Brush By Himani  (Amritsar),8910419636,Majitha road gurduware wali gali ,Punjab,Amritsar,
Karishma Makeover (Amritsar ),8909878678,Gurduare wali gali majitha road ,Punjab ,Amritsar ,
Colours Salon (Chandigarh ),8907867809,Sco 371 first floor sec 44D,Ut,Chandigarh ,
Raju Habib (Achhnera),8907144908,Rajatalab ,Uttar Pradesh,Achhnera,
Orchid Hair & Skin Studio  (Varanasi ),8906785410,Rajatalab ,Uttar Pradesh ,Varanasi ,
Pooja Sahanaj Makeover  (Lucknow),8904834703,Gomtinagar ,Uttar Pradesh,Lucknow,
Awadh Beauty Parlour  (Lucknow ),8902282525,Gomti Nagar SRS mall,Up,Lucknow ,
Women World Beauty Salon  (Varanasi ),8899920777,Suswahi ,Uttar Pradesh,Varanasi ,
O3 Luxury Salon  (Gorakhpur ),8899127123,Town hall kachahari road gorakhpur ,Uttar Pradesh ,Gorakhpur ,
Jayalaxmi  (Lucknow ),8896555835,PGI,Uttar Pradesh ,Lucknow ,
Makeup And Academy  (Kanpur),8892950499,Ratan lal nagar ,Uttar Pradesh,Kanpur,
Muskan Parlour  (Kanpur ),8890676975,Ratan lal nagar ,Uttar Pradesh ,Kanpur ,
Sanvi Beauty Care (Kanpur ),8890123229,Ratan lal nagar ,Uttar Pradesh ,Kanpur ,
Touch And Glow  (Lucknow ),8889967272,Faijullahganj ,Up,Lucknow ,
Radiance Salon  (Jodhpur ),8888107044,Chb baba Randev mandir,Rajsthan ,Jodhpur ,
Sangeeta Beauty Saloon  (Jodhpur),8887918880,Sardarpura ,Rajasthan,Jodhpur,
The Artists Room Makeup Studio @ Beauty Salons  (Jodhpur ),8887727831,Ratnada airforce order collect ,Rajasthan ,Jodhpur ,
The Artists Room Makeup Studio @ Salon (Jodhpur),8884569369,Pratapnagar,Rajasthan,Jodhpur,
Dora Beauty Parlour  (Jodhpur ),8882771411,Sardarpura ,Rajsthan ,Jodhpur ,
Param Makeover (Jodhpur),8882671414,Sardarpura ,Rajasthan,Jodhpur,
True Lounge Luxury Salon  (Jodhpur ),8882640467,Chb,Rajsthan ,Jodhpur ,
True Lounge Luxury Salon (Moradabad),8882491890,mda,Uttar Pradesh,Moradabad,
Myraa Unisex Salon  (moradabad ),8882221063,ashiana ,up,moradabad ,
An Apple  (moradabad ),8882134309,ashiyana ,up ,moradabad ,
Jannat Slaon (Muzaffarnagar ),8882122984,Gandhi colony ,UP ,Muzaffarnagar ,
My Style  (Modinagar),8882119586,G T road ,UP,Modinagar,
Charvi Palour  (Raipur ),8882040995,Mova,Chattisgarh ,Raipur ,
Zig Zag Saloon (Jagdalpur),8882029965,Jagdalpur,kothari market ,Chattisgarh ,Jagdalpur,
House Of Beauty  (Silchar),8881674727,Public school road, silchar ,Assam,Silchar,
Nandani Salon  (Silchar),8881634483,Public school road, silchar ,Assam,Silchar,
Salon 9 To 9  (Raipur ),8881078887,New rajendranagar ,Chattisgarh ,Raipur ,
Smart & Glam Studio  (Jagdalpur ),8877942682,Goal bazar road,Chattisgarh ,Jagdalpur ,
Brush @ Beauty  (Guwahati),8876372172,Six mile ,Assam,Guwahati,
Gelliter Beauty Saloon  (moradabad ),8875727694,line par,up ,moradabad ,
Look Unisex Salon Z Square Mall  (Varanasi),8874352962,Chitaipur ,Uttar Pradesh,Varanasi,
